,connectivity,model,target,n,r_discovery_cv,r_discovery_overfit,r_replication,p_discovery_cv,p_discovery_overfit,p_replication
0,netmats_pearson,PCA_SVR,age,25,,0.46615626356154416,-0.13931438097949253,0.995004995004995,0.017982017982017984,0.7572427572427572
1,netmats_pearson,PCA_SVR,age,25,,0.6893868024953785,0.19619357045549668,0.9400599400599401,0.000999000999000999,0.18081918081918083
2,netmats_pearson,PCA_SVR,age,25,,0.6810327664457754,0.0641051128017513,0.9440559440559441,0.000999000999000999,0.31368631368631367
3,netmats_pearson,PCA_SVR,age,25,,0.5132471313229414,0.0031613466484736756,0.998001998001998,0.008991008991008992,0.5264735264735265
4,netmats_pearson,PCA_SVR,age,25,,0.8706168537907757,0.06331848109194985,1.0,0.000999000999000999,0.37662337662337664
5,netmats_pearson,PCA_SVR,age,25,,0.5194619733330297,-0.1683087734497332,0.985014985014985,0.005994005994005994,0.7942057942057942
6,netmats_pearson,PCA_SVR,age,25,,0.5912629511925687,-0.05080227792673653,0.8561438561438561,0.000999000999000999,0.5894105894105894
7,netmats_pearson,PCA_SVR,age,25,,0.845658531272831,-0.415513538544491,0.6383616383616384,0.000999000999000999,0.983016983016983
8,netmats_pearson,PCA_SVR,age,25,,0.7936254202250629,-0.1353332433804981,0.7902097902097902,0.000999000999000999,0.7162837162837162
9,netmats_pearson,PCA_SVR,age,25,,0.6463956127535243,0.27949182024692326,0.8871128871128872,0.000999000999000999,0.0939060939060939
10,netmats_pearson,PCA_SVR,age,25,,0.7993726132048902,-0.11925528786872791,0.983016983016983,0.000999000999000999,0.4935064935064935
11,netmats_pearson,PCA_SVR,age,25,,0.7668100696157422,0.1032870069799416,0.2947052947052947,0.000999000999000999,0.3206793206793207
12,netmats_pearson,PCA_SVR,age,25,0.1674164020251178,0.81827098451166,-0.028537076225361137,0.7732267732267732,0.000999000999000999,0.5624375624375625
13,netmats_pearson,PCA_SVR,age,25,,0.5132068166249153,0.37399699254060714,0.922077922077922,0.004995004995004995,0.026973026973026972
14,netmats_pearson,PCA_SVR,age,25,,0.7937622506940154,-0.04025839074599219,0.8901098901098901,0.000999000999000999,0.6353646353646354
15,netmats_pearson,PCA_SVR,age,25,0.3548570111444122,0.8685026424589495,0.11664734604104794,0.5324675324675324,0.000999000999000999,0.26173826173826176
16,netmats_pearson,PCA_SVR,age,25,,0.6847105503513841,0.0344800927307346,0.8811188811188811,0.000999000999000999,0.4515484515484515
17,netmats_pearson,PCA_SVR,age,25,,0.8106532222483473,-0.031921698803837995,0.5554445554445554,0.000999000999000999,0.5454545454545454
18,netmats_pearson,PCA_SVR,age,25,,0.6933642630459599,0.018326417389733767,0.8641358641358642,0.000999000999000999,0.43756243756243757
19,netmats_pearson,PCA_SVR,age,25,,0.6586714067491461,-0.27525891564497973,1.0,0.000999000999000999,0.9150849150849151
20,netmats_pearson,PCA_SVR,age,25,,0.9125295408823938,0.2450402767739747,0.3866133866133866,0.000999000999000999,0.12387612387612387
21,netmats_pearson,PCA_SVR,age,25,,0.6904771600097396,0.4622217863278545,0.7762237762237763,0.000999000999000999,0.013986013986013986
22,netmats_pearson,PCA_SVR,age,25,,0.525002501967469,-0.0878345950306507,0.8421578421578422,0.003996003996003996,0.6703296703296703
23,netmats_pearson,PCA_SVR,age,25,,0.8164388580765449,-0.033306674381773226,0.47052947052947053,0.000999000999000999,0.6333666333666333
24,netmats_pearson,PCA_SVR,age,25,,0.8637178063687507,0.20346336691106945,0.8711288711288712,0.000999000999000999,0.15584415584415584
25,netmats_pearson,PCA_SVR,age,25,,0.7415126867764696,-0.011846326265170152,1.0,0.000999000999000999,0.47652347652347654
26,netmats_pearson,PCA_SVR,age,25,,0.6965912147170271,0.32849276683683454,0.936063936063936,0.000999000999000999,0.06593406593406594
27,netmats_pearson,PCA_SVR,age,25,,0.7956489206811461,-0.08753499499786407,0.42357642357642356,0.000999000999000999,0.6533466533466533
28,netmats_pearson,PCA_SVR,age,25,,0.635913180226379,-0.1842447253115477,0.9330669330669331,0.000999000999000999,0.8161838161838162
29,netmats_pearson,PCA_SVR,age,25,,0.6692018815338142,0.4503877495563431,0.99000999000999,0.000999000999000999,0.015984015984015984
30,netmats_pearson,PCA_SVR,age,25,,0.3552714317794741,0.1315958135005835,0.99000999000999,0.04595404595404595,0.2807192807192807
31,netmats_pearson,PCA_SVR,age,25,,0.781730678424254,-0.2433097125330178,0.958041958041958,0.000999000999000999,0.8701298701298701
32,netmats_pearson,PCA_SVR,age,25,,0.8453959188979538,-0.09954854620279524,0.9010989010989011,0.000999000999000999,0.6193806193806194
33,netmats_pearson,PCA_SVR,age,25,-0.15963231804697892,0.7305691516482078,0.13940622586525875,1.0,0.000999000999000999,0.22977022977022976
34,netmats_pearson,PCA_SVR,age,25,,0.8278148257086936,0.05751456802061027,0.21178821178821178,0.000999000999000999,0.42157842157842157
35,netmats_pearson,PCA_SVR,age,25,,0.842974647870076,0.22645963603067898,0.971028971028971,0.000999000999000999,0.15184815184815184
36,netmats_pearson,PCA_SVR,age,25,,0.8258021226230495,-0.1271296911182276,0.5064935064935064,0.000999000999000999,0.6773226773226774
37,netmats_pearson,PCA_SVR,age,25,,0.5845456349333891,0.2883941353700397,0.998001998001998,0.000999000999000999,0.0899100899100899
38,netmats_pearson,PCA_SVR,age,25,,0.8274321067567638,-0.17201165153531836,0.9140859140859141,0.000999000999000999,0.7342657342657343
39,netmats_pearson,PCA_SVR,age,25,,0.6561849698581841,-0.05686205607478054,0.8781218781218781,0.000999000999000999,0.6283716283716284
