,connectivity,model,target,n,r_discovery_cv,r_discovery_overfit,r_replication,p_discovery_cv,p_discovery_overfit,p_replication
0,netmats_parcor,Ridge,age,50,-0.05189346911580389,0.9999999998351997,0.03331060110020453,0.7522477522477522,0.000999000999000999,0.4005994005994006
1,netmats_parcor,Ridge,age,50,,0.9999999997630146,-0.09150950049258295,0.916083916083916,0.000999000999000999,0.7552447552447552
2,netmats_parcor,Ridge,age,50,0.003649865270614128,0.999999999851427,0.17166168646895394,0.6823176823176823,0.000999000999000999,0.12187812187812187
3,netmats_parcor,Ridge,age,50,-0.4173083285752668,0.9999999998209761,0.002094749514572068,0.999000999000999,0.000999000999000999,0.48151848151848153
4,netmats_parcor,Ridge,age,50,-0.06341248856323563,0.999999999834352,-0.01632915213080312,0.8771228771228772,0.000999000999000999,0.5744255744255744
5,netmats_parcor,Ridge,age,50,-0.032041783951489655,0.9999999997526304,-0.1401993274752267,0.6073926073926074,0.000999000999000999,0.8771228771228772
6,netmats_parcor,Ridge,age,50,-0.01603671063493293,0.9999999996918892,-0.0845108774526811,0.8961038961038961,0.000999000999000999,0.7212787212787213
7,netmats_parcor,Ridge,age,50,-0.13683460343100334,0.9999999996695459,-0.15476403677336553,0.43456543456543456,0.000999000999000999,0.8431568431568431
8,netmats_parcor,Ridge,age,50,0.05652089271565521,0.9999999996916658,0.08123341470608086,0.5194805194805194,0.000999000999000999,0.27372627372627373
9,netmats_parcor,Ridge,age,50,0.2766703263924586,0.9999999998642408,-0.010077235833227059,0.13086913086913088,0.000999000999000999,0.5104895104895105
10,netmats_parcor,Ridge,age,50,0.26246686779462813,0.9999999997697603,0.10762775635422099,0.12687312687312688,0.000999000999000999,0.23876123876123875
11,netmats_parcor,Ridge,age,50,,0.9999999998625803,-0.006218955988911792,0.23576423576423577,0.000999000999000999,0.5334665334665335
12,netmats_parcor,Ridge,age,50,,0.9999999998255156,-0.3728267211545801,0.9790209790209791,0.000999000999000999,0.996003996003996
13,netmats_parcor,Ridge,age,50,-0.1595893656292509,0.9999999997396014,-0.03751186741691865,0.9790209790209791,0.000999000999000999,0.5964035964035964
14,netmats_parcor,Ridge,age,50,-0.025184264936658363,0.9999999998633675,-0.17773540851664266,0.5654345654345654,0.000999000999000999,0.9040959040959041
15,netmats_parcor,Ridge,age,50,0.14022339436701017,0.999999999700382,0.050847261957611675,0.12487512487512488,0.000999000999000999,0.38461538461538464
16,netmats_parcor,Ridge,age,50,,0.9999999996877803,0.07978501525792794,0.988011988011988,0.000999000999000999,0.25374625374625376
17,netmats_parcor,Ridge,age,50,-0.14458597357607572,0.9999999998546547,-0.029561606702141256,0.7562437562437563,0.000999000999000999,0.5794205794205795
18,netmats_parcor,Ridge,age,50,0.20678827799964913,0.9999999997307608,0.292355816610863,0.16583416583416583,0.000999000999000999,0.02097902097902098
19,netmats_parcor,Ridge,age,50,-0.1265074554204568,0.9999999998476302,0.15375411289484764,0.7332667332667333,0.000999000999000999,0.14785214785214784
20,netmats_parcor,Ridge,age,50,-0.21003972668226917,0.9999999996302988,-0.1714212885823419,0.7842157842157842,0.000999000999000999,0.8781218781218781
21,netmats_parcor,Ridge,age,50,-0.31806740282878504,0.9999999998377492,0.02355749560212777,0.8941058941058941,0.000999000999000999,0.42157842157842157
22,netmats_parcor,Ridge,age,50,-0.0707917587928186,0.9999999998152141,0.17019525191428128,0.8681318681318682,0.000999000999000999,0.13086913086913088
23,netmats_parcor,Ridge,age,50,,0.9999999998273654,-0.01310113118586506,0.9330669330669331,0.000999000999000999,0.5574425574425574
24,netmats_parcor,Ridge,age,50,0.29644588356207635,0.9999999997590376,0.01903513093814754,0.04495504495504495,0.000999000999000999,0.46153846153846156
25,netmats_parcor,Ridge,age,50,-0.1398689578648642,0.9999999996592656,0.10498225991834464,0.7752247752247752,0.000999000999000999,0.2047952047952048
26,netmats_parcor,Ridge,age,50,0.14095646294354142,0.9999999996158472,-0.12061869932896102,0.2787212787212787,0.000999000999000999,0.8031968031968032
27,netmats_parcor,Ridge,age,50,0.004945647279730903,0.9999999998200751,-0.04606059579332389,0.8921078921078921,0.000999000999000999,0.6563436563436563
28,netmats_parcor,Ridge,age,50,-0.11799646445668946,0.9999999998599031,-0.28185588085188135,0.7262737262737263,0.000999000999000999,0.9790209790209791
29,netmats_parcor,Ridge,age,50,-0.15383474805910852,0.9999999997282512,0.11656898896751751,0.8231768231768232,0.000999000999000999,0.22977022977022976
30,netmats_parcor,Ridge,age,50,0.07077480574103963,0.9999999997185907,-0.06568151171120684,0.22477522477522477,0.000999000999000999,0.6613386613386614
31,netmats_parcor,Ridge,age,50,-0.035090793550811454,0.9999999996650619,0.06967415516438887,0.8461538461538461,0.000999000999000999,0.3116883116883117
32,netmats_parcor,Ridge,age,50,0.27956250869419275,0.9999999998604282,0.07114844051849357,0.17882117882117882,0.000999000999000999,0.3386613386613387
33,netmats_parcor,Ridge,age,50,-0.2754529085133298,0.9999999998695764,-0.04740706352232247,0.994005994005994,0.000999000999000999,0.6443556443556444
34,netmats_parcor,Ridge,age,50,-0.20600411573537003,0.9999999998231799,0.14086903886750665,0.9460539460539461,0.000999000999000999,0.17082917082917082
35,netmats_parcor,Ridge,age,50,-0.36440233942913075,0.9999999998342004,-0.08399623317959888,0.994005994005994,0.000999000999000999,0.7322677322677322
36,netmats_parcor,Ridge,age,50,-0.2766633409043928,0.9999999998421487,0.08609306104612148,0.999000999000999,0.000999000999000999,0.26573426573426573
