,connectivity,model,target,n,r_discovery_cv,r_discovery_overfit,r_replication,p_discovery_cv,p_discovery_overfit,p_replication
0,netmats_parcor,SVR,age,50,-0.330563692363231,0.8991354300670727,0.2884299619035349,0.994005994005994,0.000999000999000999,0.029970029970029972
1,netmats_parcor,SVR,age,50,-0.02355476639919125,0.9631814387256776,0.2916463980036292,0.5914085914085914,0.000999000999000999,0.01998001998001998
2,netmats_parcor,SVR,age,50,-0.17696726861445664,0.9684809685045325,0.09282201656372699,0.8841158841158842,0.000999000999000999,0.24475524475524477
3,netmats_parcor,SVR,age,50,0.09353464489181626,0.9604855142579167,-0.16121168664152707,0.2997002997002997,0.000999000999000999,0.8541458541458542
4,netmats_parcor,SVR,age,50,0.22039668595953704,0.9583768870807777,0.3108123920292805,0.07292707292707293,0.000999000999000999,0.016983016983016984
5,netmats_parcor,SVR,age,50,-0.28168118308973034,0.9525679243210733,0.0888136905660991,0.9820179820179821,0.000999000999000999,0.27172827172827174
6,netmats_parcor,SVR,age,50,0.1287150010026094,0.963634252358933,0.34274780014429523,0.1958041958041958,0.000999000999000999,0.01098901098901099
7,netmats_parcor,SVR,age,50,0.08539785730494949,0.9697347218617711,0.24007520258272957,0.2727272727272727,0.000999000999000999,0.06293706293706294
8,netmats_parcor,SVR,age,50,0.0906555782311714,0.968214228100069,0.09874565159651097,0.26873126873126874,0.000999000999000999,0.2097902097902098
9,netmats_parcor,SVR,age,50,-0.2884465926558607,0.9756311245030377,0.4117769425085999,0.984015984015984,0.000999000999000999,0.001998001998001998
10,netmats_parcor,SVR,age,50,-0.17591051009027792,0.9659069246962056,0.32415258901787053,0.8741258741258742,0.000999000999000999,0.013986013986013986
11,netmats_parcor,SVR,age,50,-0.2159653811205795,0.8981217429500925,0.23207138181535927,0.9470529470529471,0.000999000999000999,0.054945054945054944
12,netmats_parcor,SVR,age,50,0.12959217584188548,0.9485857436186969,0.2862307572178453,0.16583416583416583,0.000999000999000999,0.022977022977022976
13,netmats_parcor,SVR,age,50,0.29105718004488174,0.9499496303627434,0.037313256751900226,0.01998001998001998,0.000999000999000999,0.4065934065934066
14,netmats_parcor,SVR,age,50,-0.1646817786020773,0.9716289030848061,0.2526842986572094,0.8701298701298701,0.000999000999000999,0.04395604395604396
15,netmats_parcor,SVR,age,50,0.36316838922304395,0.9547884319336305,0.4178384405856465,0.006993006993006993,0.000999000999000999,0.000999000999000999
16,netmats_parcor,SVR,age,50,-0.23186946534692268,0.9567822133314098,-0.0778172147528842,0.936063936063936,0.000999000999000999,0.6913086913086913
17,netmats_parcor,SVR,age,50,0.010763337603227516,0.9645452485687381,0.44377294326630606,0.44655344655344653,0.000999000999000999,0.002997002997002997
18,netmats_parcor,SVR,age,50,0.058933621745795695,0.9594767490914277,0.28106773916250904,0.3706293706293706,0.000999000999000999,0.03496503496503497
19,netmats_parcor,SVR,age,50,0.1325605948773432,0.9606392294263101,0.34789541505770627,0.18181818181818182,0.000999000999000999,0.007992007992007992
20,netmats_parcor,SVR,age,50,0.3560193377241888,0.935904564884479,0.31338795016659354,0.007992007992007992,0.000999000999000999,0.02097902097902098
21,netmats_parcor,SVR,age,50,0.2844033029809315,0.9782057865873117,0.44752446750853947,0.04295704295704296,0.000999000999000999,0.002997002997002997
22,netmats_parcor,SVR,age,50,-0.021565466522182938,0.9573562877863083,0.013472110160742413,0.5844155844155844,0.000999000999000999,0.4775224775224775
23,netmats_parcor,SVR,age,50,-0.25990704107038304,0.9418702454120075,0.4816469807733383,0.971028971028971,0.000999000999000999,0.000999000999000999
24,netmats_parcor,SVR,age,50,-0.351547042066653,0.9304932328557749,0.17672612580495323,0.993006993006993,0.000999000999000999,0.0989010989010989
25,netmats_parcor,SVR,age,50,0.14786863595868077,0.9661441252391902,0.24402603988315416,0.15284715284715283,0.000999000999000999,0.052947052947052944
26,netmats_parcor,SVR,age,50,-0.12875677547888614,0.9396876661122043,0.2991555364523139,0.8001998001998002,0.000999000999000999,0.026973026973026972
27,netmats_parcor,SVR,age,50,0.07503122944564634,0.9537812478644455,0.1060354307041797,0.2887112887112887,0.000999000999000999,0.22877122877122877
28,netmats_parcor,SVR,age,50,0.3171821842876884,0.969898501320961,0.3117576155181075,0.015984015984015984,0.000999000999000999,0.015984015984015984
29,netmats_parcor,SVR,age,50,0.26126592096125684,0.9549731834512222,-0.04706836327328202,0.03996003996003996,0.000999000999000999,0.6083916083916084
30,netmats_parcor,SVR,age,50,-0.12575622594068583,0.9471990658353938,0.40896797996548556,0.8141858141858141,0.000999000999000999,0.002997002997002997
31,netmats_parcor,SVR,age,50,-0.0373441121912251,0.9859157728457145,0.4016140044859053,0.5944055944055944,0.000999000999000999,0.004995004995004995
32,netmats_parcor,SVR,age,50,-0.07877283741788597,0.9620832835127767,0.19458620962465265,0.7232767232767233,0.000999000999000999,0.08691308691308691
33,netmats_parcor,SVR,age,50,-0.07252328120275305,0.9764560024467182,0.40989240052914805,0.6823176823176823,0.000999000999000999,0.003996003996003996
34,netmats_parcor,SVR,age,50,-0.026502269151842762,0.9558446072663268,0.005004881589899486,0.5674325674325674,0.000999000999000999,0.4675324675324675
35,netmats_parcor,SVR,age,50,-0.3124705399056439,0.9592295067994117,0.33852708476130594,0.988011988011988,0.000999000999000999,0.003996003996003996
36,netmats_parcor,SVR,age,50,0.416784289969179,0.9163031554917335,0.28676701771997276,0.001998001998001998,0.000999000999000999,0.022977022977022976
