,connectivity,model,target,n,r_discovery_cv,r_discovery_overfit,r_replication,p_discovery_cv,p_discovery_overfit,p_replication
0,netmats_parcor,KernelRidge,age,50,-0.28953025491403556,0.9999999991654223,0.09796267852329388,0.981018981018981,0.000999000999000999,0.25374625374625376
1,netmats_parcor,KernelRidge,age,50,-0.41843773889463864,0.9999999995026259,0.020128248973164065,0.999000999000999,0.000999000999000999,0.44955044955044954
2,netmats_parcor,KernelRidge,age,50,-0.14101642367056297,0.9999999995349207,-0.14076473054787306,0.8221778221778222,0.000999000999000999,0.8381618381618382
3,netmats_parcor,KernelRidge,age,50,0.13164157238993168,0.9999999986934268,-0.10262624757121602,0.1838161838161838,0.000999000999000999,0.7602397602397603
4,netmats_parcor,KernelRidge,age,50,0.024683394307298268,0.9999999996351617,0.20391786099501052,0.42657342657342656,0.000999000999000999,0.07992007992007992
5,netmats_parcor,KernelRidge,age,50,-0.09738354507185149,0.9999999991461206,-0.24231956163735827,0.7532467532467533,0.000999000999000999,0.967032967032967
6,netmats_parcor,KernelRidge,age,50,0.11495393839359332,0.9999999989709204,-0.10957660826371596,0.2087912087912088,0.000999000999000999,0.7642357642357642
7,netmats_parcor,KernelRidge,age,50,-0.14745265313197914,0.9999999992188009,0.07713548994959565,0.8461538461538461,0.000999000999000999,0.3066933066933067
8,netmats_parcor,KernelRidge,age,50,0.0064498101064762,0.9999999984269867,0.138278497127075,0.4855144855144855,0.000999000999000999,0.16183816183816183
9,netmats_parcor,KernelRidge,age,50,-0.19845972307560625,0.9999999994911055,0.08519864296041288,0.9150849150849151,0.000999000999000999,0.28771228771228774
10,netmats_parcor,KernelRidge,age,50,0.006122529027663043,0.9999999983226383,0.05405191576983245,0.4965034965034965,0.000999000999000999,0.3516483516483517
11,netmats_parcor,KernelRidge,age,50,0.021482614868397223,0.9999999995705885,-0.26460123873839797,0.44155844155844154,0.000999000999000999,0.968031968031968
12,netmats_parcor,KernelRidge,age,50,0.17426504110755967,0.9999999989910437,-0.1841264945074113,0.1018981018981019,0.000999000999000999,0.9040959040959041
13,netmats_parcor,KernelRidge,age,50,-0.1477724276523296,0.9999999985753133,0.4061600397449862,0.8461538461538461,0.000999000999000999,0.004995004995004995
14,netmats_parcor,KernelRidge,age,50,-0.07814829754330557,0.9999999993175503,-0.09359600076876548,0.7182817182817183,0.000999000999000999,0.7392607392607392
15,netmats_parcor,KernelRidge,age,50,0.09743963492753067,0.9999999981877641,0.05541223356080245,0.23976023976023977,0.000999000999000999,0.34665334665334663
16,netmats_parcor,KernelRidge,age,50,-0.2439649518699255,0.9999999989878463,-0.20633999959570912,0.958041958041958,0.000999000999000999,0.935064935064935
17,netmats_parcor,KernelRidge,age,50,0.06204125100122609,0.9999999995623204,0.16914380173046423,0.32367632367632365,0.000999000999000999,0.11888111888111888
18,netmats_parcor,KernelRidge,age,50,0.10714812768341597,0.999999998879644,0.1350931037907174,0.24675324675324675,0.000999000999000999,0.18581418581418582
19,netmats_parcor,KernelRidge,age,50,-0.005789945944392794,0.9999999995547887,-0.1603294684576548,0.5234765234765235,0.000999000999000999,0.8521478521478522
20,netmats_parcor,KernelRidge,age,50,0.00817393879384002,0.9999999989340373,-0.16459566396417308,0.46553446553446554,0.000999000999000999,0.8791208791208791
21,netmats_parcor,KernelRidge,age,50,-0.0410996303672794,0.9999999986859645,0.02668500388436721,0.6083916083916084,0.000999000999000999,0.42957042957042957
22,netmats_parcor,KernelRidge,age,50,-0.17505065166980496,0.9999999994429062,-0.12950044307515063,0.9000999000999002,0.000999000999000999,0.8251748251748252
23,netmats_parcor,KernelRidge,age,50,-0.3445229415320435,0.9999999994788383,0.08381490161805633,0.991008991008991,0.000999000999000999,0.26673326673326675
24,netmats_parcor,KernelRidge,age,50,-0.19891654073420756,0.9999999992650256,-0.07725096917780305,0.916083916083916,0.000999000999000999,0.6983016983016983
25,netmats_parcor,KernelRidge,age,50,-0.038953427504905075,0.9999999991134211,-0.2246851241618268,0.6043956043956044,0.000999000999000999,0.9370629370629371
26,netmats_parcor,KernelRidge,age,50,-0.08672614086721125,0.9999999990399377,0.13937024147831253,0.7502497502497503,0.000999000999000999,0.18581418581418582
27,netmats_parcor,KernelRidge,age,50,-0.17307703044944095,0.9999999989712676,0.02757699633111749,0.8701298701298701,0.000999000999000999,0.3996003996003996
28,netmats_parcor,KernelRidge,age,50,-0.2662440560409134,0.9999999993094776,0.12980649513267084,0.968031968031968,0.000999000999000999,0.1838161838161838
29,netmats_parcor,KernelRidge,age,50,0.2174236172504852,0.9999999979397409,-0.22813001050343154,0.07492507492507493,0.000999000999000999,0.939060939060939
30,netmats_parcor,KernelRidge,age,50,-0.15445037657507305,0.9999999983197035,-0.2280858964602487,0.8531468531468531,0.000999000999000999,0.948051948051948
31,netmats_parcor,KernelRidge,age,50,-0.43034964376851165,0.9999999994692126,0.0933147550732002,0.998001998001998,0.000999000999000999,0.24775224775224775
32,netmats_parcor,KernelRidge,age,50,-0.12343556326985884,0.9999999992627373,-0.13027424020693226,0.8041958041958042,0.000999000999000999,0.8141858141858141
33,netmats_parcor,KernelRidge,age,50,-0.08176908866793123,0.9999999983072558,0.1046412191747711,0.7192807192807192,0.000999000999000999,0.2137862137862138
34,netmats_parcor,KernelRidge,age,50,0.13097159955574195,0.9999999993803695,-0.12249630820070163,0.17482517482517482,0.000999000999000999,0.8041958041958042
35,netmats_parcor,KernelRidge,age,50,-0.34960582904824955,0.9999999991721772,-0.3037944453974962,0.9920079920079921,0.000999000999000999,0.99000999000999
